Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
QCOM,QUALCOMM Inc.,Information Technology,53.55,3.96,16.89,3.17,20.21,42.24,67.63,78.66,8.27,3.47,2.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM
PWR,Quanta Services Inc.,Industrials,23.21,,15.20,1.53,19.76,16.77,30.61,3.51,0.45767,0.47,1.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR
DGX,Quest Diagnostics,Health Care,75.73,2.11,14.68,5.16,32.88,59.66,78.97,10.71,1.48,1.45,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
RRC,Range Resources Corp.,Energy,44.30,0.18,,-5.00,16.04,19.21,51.49,7.38,0.60891,6.57,2.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC
RTN,Raytheon Co.,Industrials,134.66,2.18,20.88,6.45,34.10,95.32,137.34,39.99,3.25,1.70,3.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN
O,Realty Income Corporation,Financials,64.12,3.73,59.98,1.07,24.23,43.15,65.09,16.10,0.9472,15.66,2.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O
RHT,Red Hat Inc.,Information Technology,77.30,,72.24,1.07,7.36,59.59,84.44,14.03,0.36804000000000003,6.80,10.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHT
REGN,Regeneron,Health Care,354.21,,56.16,6.31,36.10,348.96,605.93,36.94,1.38,8.62,10.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN
RF,Regions Financial Corp.,Financials,9.09,2.86,11.48,0.79,12.86,7.00,10.87,11.51,0.00,2.22,0.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF
RSG,Republic Services Inc,Industrials,49.25,2.44,23.55,2.09,22.53,38.99,50.00,16.94,2.56,1.87,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG
RAI,Reynolds American Inc.,Consumer Staples,50.22,3.35,10.60,4.74,14.83,35.69,52.54,71.68,4.83,6.26,3.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RAI
RHI,Robert Half International,Industrials,38.58,2.28,14.02,2.75,8.08,36.17,58.00,4.99,0.64186,0.96,4.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
ROK,Rockwell Automation Inc.,Industrials,116.70,2.49,20.50,5.69,17.01,87.53,126.77,15.20,1.21,2.50,6.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK
COL,Rockwell Collins,Industrials,86.19,1.53,17.17,5.02,15.21,76.03,96.04,11.22,1.17,2.19,5.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL
ROP,Roper Industries,Industrials,167.67,0.72,24.70,6.79,53.77,150.91,195.93,16.97,1.25,4.71,3.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP
ROST,Ross Stores,Consumer Discretionary,54.25,1.00,21.29,2.55,6.36,43.47,59.68,21.67,1.92,1.80,8.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,74.64,2.01,22.72,3.29,36.54,64.21,103.40,16.07,2.18,1.89,2.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RCL
R,Ryder System,Industrials,65.24,2.51,11.33,5.76,38.08,45.12,94.42,3.50,1.79,0.52,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=R
SPGI,"S&P Global, Inc.",Financials,106.74,1.35,25.37,4.21,0.84,78.55,112.75,28.24,2.25,5.29,128.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPGI
CRM,Salesforce.com,Information Technology,80.50,,,-0.02,8.24,52.60,84.48,54.54,0.5223,7.82,9.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM
SCG,SCANA Corp,Utilities,71.42,3.22,19.56,3.65,38.76,50.01,72.30,10.21,1.46,2.45,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCG
SLB,Schlumberger Ltd.,Energy,77.50,2.58,61.26,1.26,28.23,59.60,88.12,97.06,8.51,3.01,2.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,63.97,1.56,10.73,5.96,14.31,47.62,68.45,8.25,1.44,2.62,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNI
STX,Seagate Technology,Information Technology,23.22,10.85,22.81,1.02,5.64,18.42,54.00,6.93,1.51,0.59,4.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STX
SEE,Sealed Air Corp.(New),Materials,46.84,1.37,28.99,1.62,2.85,38.02,55.84,9.23,1.07,1.36,16.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SEE
SRE,Sempra Energy,Utilities,109.65,2.75,22.38,4.90,47.83,86.72,110.27,27.38,3.10,2.69,2.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE
SHW,Sherwin-Williams,Materials,288.31,1.17,25.34,11.38,10.94,218.27,309.00,26.37,1.88,2.32,26.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SHW
SIG,Signet Jewelers,Consumer Discretionary,84.90,1.22,13.57,6.26,39.52,81.32,152.27,6.62,0.9677,0.93,2.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SIG
SPG,Simon Property Group Inc,Financials,205.89,3.11,36.13,5.70,14.69,170.99,214.80,63.71,3.98,11.93,14.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG
SWKS,Skyworks Solutions,Information Technology,63.97,1.63,12.45,5.14,18.63,54.50,112.88,12.17,1.37,3.63,3.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS
SLG,SL Green Realty,Financials,100.32,2.87,40.32,2.49,70.40,80.12,121.94,10.06,0.9974500000000001,5.82,1.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLG
SJM,Smucker (J.M.),Consumer Staples,144.72,1.85,25.12,5.76,59.02,104.30,145.83,17.19,1.72,2.21,2.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM
SNA,Snap-On Inc.,Consumer Discretionary,152.97,1.60,18.23,8.39,43.29,133.09,174.52,8.89,0.858,2.47,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA
SO,Southern Co.,Utilities,51.15,4.66,19.99,2.56,22.65,41.40,51.79,46.97,6.71,2.71,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO
LUV,Southwest Airlines,Industrials,39.74,1.01,11.70,3.40,11.74,31.36,51.34,25.38,5.41,1.27,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV
SWN,Southwestern Energy,Energy,13.09,0.00,,-15.34,2.99,5.00,24.62,5.03,0.946,1.77,4.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWN
SE,Spectra Energy Corp.,Energy,33.90,4.78,140.66,0.24,10.47,21.43,33.98,23.19,2.50,4.61,3.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SE
STJ,St Jude Medical,Health Care,76.44,1.62,30.71,2.49,14.44,48.83,80.84,21.73,1.60,3.86,5.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
SWK,Stanley Black & Decker,Consumer Discretionary,112.59,1.95,18.62,6.05,37.76,88.72,115.15,16.90,1.78,1.50,2.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
SPLS,Staples Inc.,Consumer Discretionary,8.77,5.47,15.66,0.56,8.48,8.00,16.65,5.67,1.35,0.27,1.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
SBUX,Starbucks Corp.,Consumer Discretionary,55.31,1.45,32.73,1.69,3.48,42.05,64.00,81.02,4.57,4.03,15.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
HOT,Starwood Hotels & Resorts,Consumer Discretionary,73.90,2.03,26.09,2.83,7.93,56.87,86.96,12.53,1.06,4.15,9.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT
STT,State Street Corp.,Financials,57.94,2.35,13.23,4.38,47.51,50.73,81.26,22.94,0.00,2.23,1.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT
SRCL,Stericycle Inc,Industrials,101.48,,35.13,2.89,33.08,91.05,151.57,8.62,0.81567,2.73,3.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCL
SYK,Stryker Corp.,Health Care,114.38,1.33,26.77,4.27,23.55,86.68,115.90,42.78,2.72,4.26,4.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
STI,SunTrust Banks,Financials,41.26,2.33,11.33,3.64,44.97,31.07,45.84,20.85,0.00,2.60,0.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STI
SYMC,Symantec Corp.,Information Technology,19.97,1.50,5.38,3.71,6.01,16.14,24.39,12.23,0.892,3.36,3.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYMC
SYF,Synchrony Financial,Financials,25.77,,9.58,2.69,15.84,23.74,36.40,21.49,0.00,3.15,1.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF
SYY,Sysco Corp.,Consumer Staples,49.80,2.49,36.24,1.37,7.03,35.45,50.68,28.06,2.48,0.57,7.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY
TROW,T. Rowe Price Group,Financials,71.37,3.03,15.35,4.65,19.20,63.57,79.81,17.71,1.96,4.24,3.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW
TGT,Target Corp.,Consumer Discretionary,67.50,3.56,12.49,5.40,21.13,65.50,85.81,39.78,7.41,0.54,3.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
TEL,TE Connectivity Ltd.,Information Technology,60.62,2.44,11.48,5.28,20.72,51.70,69.73,21.68,2.47,1.81,2.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL
TE,TECO Energy,Utilities,27.63,3.33,34.24,0.81,10.97,17.60,27.83,6.51,0.9182,2.41,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TE
TGNA,Tegna,Consumer Discretionary,22.26,2.52,11.68,1.91,9.92,21.11,38.48,4.84,1.13,1.56,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGNA
TDC,Teradata Corp.,Information Technology,27.67,,,-2.08,6.14,21.98,38.95,3.60,0.379,1.42,4.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDC
TSO,Tesoro Petroleum Co.,Energy,72.50,2.76,6.10,11.88,43.66,67.80,119.67,8.67,3.78,0.33,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSO
TXN,Texas Instruments,Information Technology,61.62,2.47,21.50,2.87,9.72,43.49,62.31,61.88,5.27,4.85,6.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
TXT,Textron Inc.,Industrials,38.24,0.21,14.79,2.59,18.57,30.69,46.49,10.28,1.60,0.76,2.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT
BK,The Bank of New York Mellon Corp.,Financials,40.06,1.70,14.47,2.77,33.34,32.20,45.45,43.15,0.00,2.89,1.20,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
CLX,The Clorox Company,Consumer Staples,132.37,2.42,25.86,5.12,2.00,103.89,133.38,17.12,1.24,3.01,66.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX
KO,The Coca Cola Company,Consumer Staples,44.79,3.13,26.97,1.66,5.75,36.56,47.13,193.77,12.11,4.47,7.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
HSY,The Hershey Company,Consumer Staples,97.11,2.40,42.82,2.27,3.88,82.41,97.40,20.72,1.67,2.84,24.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
MOS,The Mosaic Company,Materials,26.74,2.90,9.88,2.71,28.58,22.02,47.13,9.35,1.88,1.07,0.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS
TRV,The Travelers Companies Inc.,Financials,111.86,2.40,10.50,10.65,82.65,95.21,118.28,32.71,5.69,1.23,1.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV
DIS,The Walt Disney Company,Consumer Discretionary,99.00,1.43,18.23,5.43,25.95,86.25,122.08,160.62,16.72,2.91,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
TMO,Thermo Fisher Scientific,Health Care,146.24,0.41,29.43,4.97,53.17,117.10,154.81,57.55,4.23,3.34,2.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
TIF,Tiffany & Co.,Consumer Discretionary,61.23,2.94,17.63,3.47,23.35,59.73,96.43,7.72,0.9392,1.89,2.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TIF
TWX,Time Warner Inc.,Consumer Discretionary,72.37,2.22,14.52,4.98,30.22,55.53,91.34,56.91,8.05,2.04,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX
TJX,TJX Companies Inc.,Consumer Discretionary,75.65,1.37,22.22,3.40,6.86,63.53,79.20,50.01,4.39,1.59,11.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
TMK,Torchmark Corp.,Financials,60.09,0.93,14.27,4.21,36.27,48.47,63.26,7.25,0.85226,1.90,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMK
TSS,Total System Services,Information Technology,52.40,0.76,25.70,2.04,10.48,37.47,56.69,9.62,0.7015,3.36,5.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS
TSCO,Tractor Supply Company,Consumer Discretionary,91.61,1.05,29.68,3.09,10.15,75.00,97.25,12.22,0.79272,1.93,9.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO
